,country,page,rev_id
16104,Ivorian,Abdourahmane Cissé,770710515
16113,Greenlandic,Aleqa Hammond,770757601
16231,Tokelauan,Duncan MacIntyre (New Zealand politician),770994352
16263,Cape Colony,William Schreiner,771024710
16316,Niuean,Enetama Lipitoa,771152922
16376,Montserratian,David Brandt (politician),771351774
16377,Montserratian,Bertrand Osborne,771351955
16378,Montserratian,Percival Austin Bramble,771352057
16422,Tokelauan,Russell Marshall,771460602
16600,Chechen,Isa Gendergenoevsky,772274868
16633,South African Republic,"Kruger House, Pretoria",772410051
16856,Jersey,Philip Bailhache,773230341
16882,Jersey,Jean Poingdestre,773316732
17011,Faroese,Anfinn Kallsberg,773895078
17253,Ossetian,Head of the Republic of North Ossetia-Alania,774555176
17256,Jersey,Peter Hanning,774568909
17317,Ivorian,Vice-President of Ivory Coast,774756970
17336,Rhodesian,Cecil Dennistoun Burney,774837666
17471,Cape Colony,George Strahan,775481498
17590,Niuean,Sani Lakatani,775947817
17707,South African Republic,Boekenhoutfontein,776299184
17728,Ivorian,Jean Konan Banny,776348888
17827,Cape Colony,John Bardwell Ebden,776725178
18134,Carniolan,Josip Jurčič,777587526
18136,Carniolan,Josip Vošnjak,777588436
18430,Greenlandic,Katrine Larsen Lenner,778461046
18523,Cook Island,Kete Ioane,778717694
18529,Cook Island,Tom Davis (Cook Islands politician),778763952
18548,Cook Island,Niki Rattle,778789714
18649,Cape Colony,Jan Hendrik Hofmeyr (Onze Jan),779046359
18654,Pitcairn Islands,William Alfred Young,779056744
18770,Niuean,O'Love Jacobsen,779369629
18771,Niuean,Sisilia Talagi,779369671
18772,Niuean,Salilo Tongia,779369724
18773,Niuean,Va'aiga Tukuitonga,779369750
19097,Ivorian,Jacqueline Oble,779741800
19290,Rhodesian,Mark Partridge,780260926
19299,Carniolan,Janez Bleiweis,780281974
19325,Faroese,Kaj Leo Johannesen,780361487
19370,Greenlandic,Maliina Abelsen,780537008
19371,Faroese,Rigmor Dam,780543271
19372,Faroese,Hanna Jensen,780543417
19373,Faroese,Sonja Jógvansdóttir,780543635
19374,Faroese,Karin Kjølbro,780543692
19652,Montserratian,Winston Pond,781452925
19773,Faroese,Jóannes Patursson,781915668
19980,Chechen,Ibragim Khultygov,782430810
20062,Rhodesian,Prime Minister of Rhodesia,782602484
20079,Ossetian,Akhsarbek Galazov,782634776
20130,Pitcairn Islands,Governor of Pitcairn,782764117
20294,Rhodesian,Leo Cardwell Ross,783150296
20295,Rhodesian,Josiah Gondo,783150589
20334,Cape Colony,Charles Abercrombie Smith,783249147
20335,Cape Colony,Charles Brownlee,783250295
20370,Rhodesian,Dunduzu Chisiza,783301534
20418,South African Republic,State President of the South African Republic,783371989
20652,Pitcairn Islands,Martin Williams (diplomat),783746509
20689,Montserratian,Mary Rose Tuitt,783821985
20717,Incan,María Sumire,783850857
20754,Chechen,Movladi Udugov,783907075
20803,Jersey,Dean of Jersey,784051930
20850,Chechen,Doku Zavgayev,784167327
20922,Ivorian,Ernest Boka,784395089
20939,Faroese,Erlendur Patursson,784440060
20950,Jersey,"Alexander Coutanche, Baron Coutanche",784462137
20978,Rhodesian,Allan Ross Welsh,784562559
21043,Cook Island,Frederick Tutu Goodwin,784686871
21048,Guernsey,Geoffrey Rowland,784691815
21050,Cape Colony,George Cathcart,784693349
21070,Cape Colony,Henry Torrens,784726341
21088,Rhodesian,John Moore Caldicott,784757829
21089,Rhodesian,John Ralph Beaumont,784758963
21094,Cape Colony,Frederick Schermbrucker,784765242
21100,Rhodesian,Leonard Ray Morgan,784769027
21102,Guernsey,List of Bailiffs of Guernsey,784770354
21118,Cook Island,Ngamau Munokoa,784786128
21133,Rhodesian,Raleigh Grey,784826325
21140,Cape Colony,Richard Solomon (Attorney General),784829553
21141,Rhodesian,Robert Clarkson Tredgold,784830601
21143,Rhodesian,Robert James Hudson,784831407
21154,Jersey,Terry Le Sueur,784849252
21158,Montserratian,Tony Longrigg,784856577
21159,Cape Colony,Walter Hely-Hutchinson,784862369
21163,Rhodesian,William Harper (Rhodesian politician),784870217
21168,Montserratian,Deborah Barnes-Jones,784875662
21200,Rhodesian,Rowan Cronjé,784974615
21293,Dagestani,Aziz Aliyev,785202362
21451,Pitcairn Islands,David Aubrey Scott,785508390
21456,Dagestani,Mukhu Aliyev,785532389
21478,Cape Colony,Henry White (Cape Treasurer General),785566972
21722,Cape Colony,Jacobus Wilhelmus Sauer,786142993
21743,Jersey,Don Filleul,786175308
21752,Abkhazia,Zakan Jugelia,786203824
21761,Chechen,Head of the Chechen Republic,786231010
21823,Tokelauan,Guy Powles,786375181
21929,Rhodesian,Edgar Whitehead,786601705
21942,Cook Island,Henry Puna,786648340
21947,Rhodesian,Henry Hamilton Beamish,786659504
22000,Cape Colony,Charles Lennox Stretch,786803200
22094,Cape Colony,John Tengo Jabavu,786916027
22126,Cape Colony,Philip John Stigant,786972727
22159,Jersey,Augustus Asplet Le Gros,787012860
22177,Jersey,Philippe Langlois,787046159
22178,Cook Island,Moana Ioane,787050138
22210,Rhodesian,Lionel Cripps,787105083
22229,Rhodesian,A. R. Colquhoun,787147677
22246,Chechen,Mairbek Sheripov,787163671
22296,Cook Island,Marguerite Story,787227714
22366,Ivorian,François Amichia,787310676
22607,Greenlandic,Agnethe Davidsen,787423025
22619,Ivorian,Aboubakar Diaby Ouattara,787437447
22709,Cape Colony,Henry Pottinger,787552653
22726,South African Republic,Transvaal Civil War,787611475
22876,Rhodesian,John McChlery,787854502
22976,Guernsey,Diane Lewis (Guernsey legislator),787954113
22977,Guernsey,Wendy Morgan (politician),787954138
22980,Jersey,Sarah Craig Ferguson,787955357
22981,Jersey,Wendy Kinnard,787955613
22983,Jersey,Iris Le Feuvre,787956265
22984,Jersey,Judy Martin (politician),787956300
22985,Jersey,Kristina Moore,787956364
22986,Jersey,Susan Pinel,787956392
22987,Jersey,Shona Pitman,787956492
22988,Jersey,Anne Pryke,787956513
22989,Jersey,Corrie Stein,787956597
22991,Jersey,Tracey Vallois,787957954
23169,Ivorian,Youssouf Bakayoko,788065543
23192,Cape Colony,Thomas Charles Scanlen,788098639
23372,Cook Island,Apenera Short,788240713
23474,Pitcairn Islands,Harold Smedley,788318957
23478,Ivorian,Chantal Compaoré,788330706
23494,Cape Colony,Saul Solomon,788361321
23553,Ivorian,Désiré Tagro,788421683
23585,Guernsey,Peter de Havilland,788446515
23603,Ivorian,Mamadou Koulibaly,788462808
23674,Ivorian,Pascal Affi N'Guessan,788498433
23676,Cook Island,Mana Strickland,788499686
23878,Cape Colony,Thomas Upington,788717893
24686,Ivorian,Étienne Djaument,788825623
24697,Ivorian,Victor Biaka Boda,788825785
24744,Ivorian,Loubo Augustin Djessou,788827789
25406,Cook Island,William (Smiley) Heather,788897273
25407,Cook Island,Rose Toki-Brown,788897549
25409,Cook Island,Teina Bishop,788898457
25412,Cook Island,Pumati Israela,788899523
26001,Montserratian,William Henry Bramble,788976365
26048,Faroese,Niels Winther Poulsen,789029085
26053,Abkhazia,Raul Eshba,789039267
26070,Carniolan,Andrej Einspieler,789072979
26106,Cape Colony,Andries Stockenström (judge),789120101
26237,Cape Colony,Robert Wynyard,789258720
26276,Carniolan,Ivan Lorković,789263095
26540,Carniolan,Janko Kersnik,789273199
27159,Faroese,Bjørt Samuelsen,789306157
27214,Faroese,Jenis av Rana,789307497
27215,Faroese,Heðin Mortensen,789307569
27216,Faroese,Rasmus Effersøe,789307632
27221,Faroese,Trygvi Samuelsen,789308387
27222,Faroese,Eilif Samuelsen,789308554
27281,Faroese,Jógvan Skorheim,789310556
27397,Chechen,Alu Alkhanov,789327678
27407,Chechen,Adam Delimkhanov,789328171
27408,Ossetian,Alexander Dzasokhov,789328182
27439,Dagestani,Magomedali Magomedov,789329935
27745,Ivorian,Aké Loba,789476691
27796,Rhodesian,Jeremiah Chirau,789545107
28036,Cape Colony,"John de Villiers, 1st Baron de Villiers",789675927
28037,Carniolan,Ivan Šusteršič,789681987
28040,Rhodesian,Winston Field,789689591
28047,Faroese,Louis Zachariasen,789708924
28115,Jersey,"Sir Philip Carteret, 1st Baronet",789753704
28116,Jersey,"Sir Philip Carteret, 2nd Baronet",789753711
28242,Abkhazia,Bagrat Shinkuba,789818648
28243,Abkhazia,Samson Chanba,789818730
28318,Montserratian,John Kemys Spencer-Churchill,789918293
28334,Guernsey,Gavin St Pier,789938377
28347,Chechen,Aslambek Aslakhanov,789949907
28350,South Ossetian,Aslanbek Bulatsev,789950396
28601,Rhodesian,Howard Unwin Moffat,790010191
28860,Carniolan,Philipp von Cobenzl,790213148
